table_name,aoi_id,id,vendor_id,entity_id,vendor,platform,pixel_size_x,pixel_size_y,date,publish_date,geometry,sea_state_qual,sea_state_quant,shareable
EE,6,104001004933C100,19MAR09155204-P1BS-503577655010_01_P004,WV320190309155204P00,DIGITAL GLOBE,WORLDVIEW-3,0.0,0.0,2019-03-09,2019-10-03,"POLYGON((-70.629444 41.693889, -70.629444 41.8425, -70.458889 41.8425, -70.458889 41.693889, -70.629444 41.693889))",,,
EE,6,104001004933C100,19MAR09155205-S2AS_R1C2-504979757010_01_P007,WV320190309155205OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.53334 41.710163, -70.53334 41.784891, -70.457319 41.784891, -70.457319 41.710163, -70.53334 41.710163))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R1C1-504979755030_01_P002,WV320190321154411OR01C0101,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.263628 42.06855, -70.263628 42.143363, -70.163162 42.143363, -70.163162 42.06855, -70.263628 42.06855))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R1C2-504979755030_01_P002,WV320190321154411OR01C0201,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.164512 42.069597, -70.164512 42.144326, -70.064156 42.144326, -70.064156 42.069597, -70.164512 42.069597))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R2C1-504979755030_01_P001,WV320190321154411OR02C0100,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.262323 42.087569, -70.262323 42.125183, -70.162567 42.125183, -70.162567 42.087569, -70.262323 42.087569))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R2C1-504979755030_01_P002,WV320190321154411OR02C0101,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.262164 42.021664, -70.262164 42.069597, -70.162307 42.069597, -70.162307 42.021664, -70.262164 42.021664))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R2C2-504979755030_01_P001,WV320190321154411OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.163235 42.07161, -70.163235 42.126145, -70.063247 42.126145, -70.063247 42.07161, -70.163235 42.07161))",,,
EE,6,10400100494E4E00,19MAR21154411-S2AS_R2C2-504979755030_01_P002,WV320190321154411OR02C0201,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.163162 42.005838, -70.163162 42.070557, -70.063093 42.070557, -70.063093 42.005838, -70.163162 42.005838))",,,
EE,6,10400100494E4E00,19MAR21154412-S2AS_R1C1-504979755030_01_P003,WV320190321154412OR01C0100,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.263281 42.002375, -70.263281 42.077187, -70.162922 42.077187, -70.162922 42.002375, -70.263281 42.002375))",,,
EE,6,10400100494E4E00,19MAR21154412-S2AS_R1C2-504979755030_01_P003,WV320190321154412OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-21,2021-02-15,"POLYGON((-70.164268 42.00342, -70.164268 42.078149, -70.064019 42.078149, -70.064019 42.00342, -70.164268 42.00342))",,,
